,action,frame,ball_x,ball_y,player_h1x,player_h1y,player_a1x,player_a1y,player_h2x,player_h2y,player_a2x,player_a2y,player_h3x,player_h3y,player_a3x,player_a3y,player_h4x,player_h4y,player_a4x,player_a4y,player_h5x,player_h5y,player_a5x,player_a5y
74,1,24,37.269,28.288,13.385,47.398,16.025,42.118,29.77,35.253,27.953,34.127,29.264,30.564,21.809,29.752,36.451,27.174,27.701,24.25,25.462,14.321,18.444,19.947
75,1,25,37.446,29.39,12.91,47.229,15.97,41.861,30.355,34.596,28.39,33.416,28.779,30.2,21.296,29.757,36.359,28.104,27.956,25.059,25.068,14.35,18.275,19.477
76,1,26,37.677,29.873,12.431,47.123,15.802,41.618,30.916,33.858,28.913,32.698,28.262,29.839,20.797,29.763,36.271,29.154,27.939,25.808,24.731,14.469,18.227,19.032
77,1,27,37.455,31.052,11.938,47.111,15.507,41.429,31.535,32.888,29.377,32.033,27.657,29.441,20.358,29.734,36.122,30.352,27.797,26.628,24.458,14.663,18.367,18.643
78,1,28,36.76,32.631,11.39,47.138,15.117,41.358,32.532,32.21,29.838,31.377,27.165,29.067,19.963,29.666,35.799,31.415,27.491,27.387,24.402,14.969,18.588,18.313
79,1,29,35.84,34.423,10.784,47.168,14.635,41.32,33.16,31.33,30.348,30.737,26.659,28.958,19.614,29.514,35.438,32.582,27.328,27.993,24.336,15.282,18.852,18.098
80,1,30,35.473,35.437,10.137,47.131,14.116,41.298,33.882,30.441,30.745,29.912,26.106,28.928,19.298,29.316,34.906,33.69,27.301,28.73,24.318,15.55,19.051,17.987
81,1,31,35.317,36.22,9.5463,47.06,13.605,41.239,34.264,29.554,31.155,29.048,25.44,29.031,19.016,29.133,34.365,34.837,27.112,29.363,24.268,15.817,19.158,17.997
82,1,32,34.249,37.276,9.0297,47.022,13.087,41.103,34.54,28.413,31.472,27.999,24.774,29.062,18.809,28.975,33.778,35.96,26.91,30.211,24.089,16.095,19.221,18.117
83,1,33,32.671,38.368,8.5591,46.965,12.533,40.93,34.906,27.331,31.868,26.965,23.913,28.924,18.67,28.858,33.102,36.98,26.625,31.309,24.013,16.474,19.243,18.388
84,1,34,32.193,39.858,8.093,47.003,11.926,40.763,35.004,26.2,32.127,25.927,23.071,28.732,18.576,28.737,32.323,37.826,26.186,32.392,24.159,17.089,19.235,18.779
85,1,35,31.81,40.455,7.5944,47.099,11.304,40.662,35.001,24.908,32.283,24.855,22.108,28.455,18.411,28.514,31.508,38.617,25.917,33.647,24.338,17.727,19.029,19.223
86,1,36,30.935,41.017,7.1255,47.172,10.677,40.66,34.872,23.844,32.354,23.808,21.085,27.905,18.163,28.121,30.608,39.328,25.369,34.632,24.712,18.597,18.896,19.632
87,1,37,29.892,41.311,6.8008,47.416,10.043,40.688,34.755,22.818,32.455,22.85,19.986,27.084,17.765,27.68,29.731,39.882,24.773,35.463,25.068,19.627,18.729,20.066
88,1,38,27.984,41.062,6.588,47.661,9.4679,40.727,34.643,21.945,32.277,21.924,19.003,26.058,17.197,27.209,28.912,40.279,24.151,36.201,25.307,20.721,18.511,20.424
89,1,39,27.381,41.683,6.4383,47.91,8.9223,40.735,34.552,21.276,31.934,21.042,18.274,24.912,16.557,26.754,28.121,40.615,23.635,36.875,25.681,22.127,18.49,20.904
90,1,40,26.832,41.92,6.3288,48.134,8.4126,40.689,34.403,20.442,31.46,20.251,17.552,23.66,15.807,26.355,27.4,40.854,23.122,37.403,26.0,23.578,18.643,21.62
91,1,41,25.248,41.006,6.2256,48.266,7.9361,40.652,34.301,19.46,30.707,19.428,17.165,22.495,15.065,25.883,26.73,41.144,22.652,37.819,26.243,24.998,18.971,22.451
92,1,42,25.98,39.423,6.1601,48.293,7.4895,40.656,34.233,18.558,30.249,18.856,16.864,21.308,14.384,25.349,26.074,41.401,22.177,38.108,26.415,26.331,19.516,23.46
93,1,43,26.483,36.266,6.1394,48.281,7.1123,40.733,33.935,17.267,29.722,18.584,16.657,20.246,13.744,24.766,25.413,41.613,21.687,38.267,26.43,27.449,20.016,24.502
94,1,44,27.129,32.96,6.1337,48.174,6.8779,40.801,33.445,15.993,28.967,18.214,16.753,19.397,13.156,24.152,24.385,41.728,21.073,38.256,26.383,28.375,20.319,25.499
95,1,45,27.142,30.812,6.1195,48.006,6.7866,40.854,32.562,14.748,28.066,17.864,16.999,18.678,12.567,23.51,23.124,41.68,20.357,38.119,26.241,29.183,20.464,26.526
96,1,46,26.498,31.2,6.1067,47.742,6.8302,40.859,31.47,13.502,26.982,17.228,17.345,18.159,12.165,22.88,21.554,41.476,19.581,37.838,26.039,29.978,20.551,27.692
97,1,47,25.856,31.624,6.158,47.403,7.0213,40.894,30.221,12.3,25.844,16.345,17.774,17.755,11.916,22.237,19.933,41.192,18.739,37.483,25.758,30.702,20.399,28.546
98,1,48,25.602,32.28,6.3359,47.003,7.3213,41.006,28.768,11.169,24.7,15.368,18.187,17.548,11.941,21.677,18.399,40.917,17.854,37.022,25.475,31.378,20.048,29.246
99,1,49,25.004,32.694,6.761,46.501,7.6977,41.073,27.187,9.9696,23.535,14.397,18.542,17.525,12.201,21.258,16.915,40.664,17.006,36.497,25.237,31.92,19.625,29.685
100,2,0,28.516,40.492,11.369,48.249,13.753,41.994,27.563,39.432,25.08,36.956,31.836,16.753,24.391,28.618,29.282,15.857,20.218,16.882,32.914,30.399,17.755,23.485
101,2,1,28.709,40.673,12.179,48.223,13.603,42.697,27.682,39.262,25.111,36.98,32.51,17.813,24.549,28.538,28.177,16.081,20.952,17.281,32.266,30.37,18.409,23.375
102,2,2,28.346,39.937,13.025,48.155,13.573,43.356,27.773,39.116,25.173,36.93,33.05,18.715,24.686,28.477,27.939,15.97,21.538,17.725,31.684,30.332,18.909,23.355
103,2,3,27.861,40.32,13.889,48.096,13.722,43.625,27.774,39.001,25.192,36.851,33.611,19.671,24.77,28.485,27.743,15.822,22.278,18.243,31.216,30.352,19.231,23.323
104,2,4,30.25,38.843,14.662,48.118,13.944,43.68,27.747,38.918,25.21,36.78,34.222,20.657,24.827,28.611,27.442,15.59,23.069,18.856,30.856,30.447,19.356,23.211
105,2,5,31.523,37.047,15.177,48.087,14.139,43.367,27.663,38.814,25.283,36.69,34.768,21.552,24.712,28.904,27.218,15.288,23.888,19.506,30.653,30.61,19.309,22.945
106,2,6,33.027,33.715,15.33,48.004,14.45,43.022,27.723,38.62,25.52,36.575,35.214,22.399,24.394,29.233,26.983,14.969,24.852,20.193,30.543,30.824,19.214,22.556
107,2,7,34.632,30.544,15.196,47.917,14.801,42.675,27.861,38.337,25.811,36.324,35.601,23.27,23.994,29.498,26.743,14.661,25.49,20.872,30.502,31.066,19.143,22.116
108,2,8,36.178,26.98,14.869,47.805,15.218,42.516,28.034,37.864,26.243,35.953,35.909,24.109,23.539,29.669,26.515,14.443,26.058,21.59,30.407,31.188,19.068,21.648
109,2,9,36.732,25.752,14.49,47.741,15.638,42.539,28.41,37.162,26.708,35.539,36.196,24.988,23.052,29.725,26.268,14.338,26.608,22.367,30.204,31.17,18.983,21.174
110,2,10,37.297,26.164,14.094,47.65,15.936,42.487,28.816,36.419,27.154,35.04,36.419,25.892,22.591,29.743,25.997,14.315,27.086,23.151,29.918,31.038,18.796,20.691
